Parent Type,Parent ID,SubSite ID,SubSite Name,SubSite Name(Arabic),SubSite Description,SubSite Location(Descriptive),SubSite Location(Coordinates - Dec),SubSite Location(Coordinates - Deg),SubSite Location(Google Link),Main Process / Equipment
Site,FAS,JD_FAS_800_High_North,North P-56,,,,,,,
Site,FAS,JD_FAS_ALKHOMRA_FS,Alkhomra Filing Station,,,,,,,
Site,FAS,JD_FAS_BA,Booster Aljamah,,Booster Aljamah,,,,,
Site,FAS,JD_FAS_BM,Briman,,Briman,,,,,
Site,FAS,JD_FAS_DZ_HA_EP1,Al Ajwad 2,,,,,,,
Site,FAS,JD_FAS_DZ_HB_EP1,Al Samer 1,,,,,,,
Site,FAS,JD_FAS_DZ_HB_EP2,Al Samer 5,,,,,,,
Site,FAS,JD_FAS_DZ_HD_EP3,Al Rawabe 3,,,,,,,
Site,FAS,JD_FAS_DZ_HF3_EP1,Nakheel,,,,,,,
Site,FAS,JD_FAS_DZ_M3_EP1,Bani Malik 4,,,,,,,
Site,FAS,JD_FAS_DZ_MA_EP1,Al Rehab 3,,,,,,,
Site,FAS,JD_FAS_DZ_MH_EP1,Al Hamrah 1,,,,,,,
Site,FAS,JD_FAS_DZ_MM_EP1,Al Sabeel 1,,,,,,,
Site,FAS,JD_FAS_DZ_MO_EP2,Guleel 1,,,,,,,
Site,FAS,JD_FAS_DZ_MP_EP1,Al Thagur 4,,,,,,,
Site,FAS,JD_FAS_DZ_MP_EP2,Al Nazlah Al Sharqeyyah 1,,,,,,,
Site,FAS,JD_FAS_DZ_MT_EP1,Al Faihaa 2,,,,,,,
Site,FAS,JD_FAS_DZ_MT_EP2,Al Faihaa 2,,,,,,,
Site,FAS,JD_FAS_DZ_MU_EP1,Al Qurayaat,,,,,,,
Site,FAS,JD_FAS_DZ_N42_SWCC_P1,Al Mohammadiya,,,,,,,
Site,FAS,JD_FAS_DZ_NA_EP1,Al Safa 10,,,,,,,
Site,FAS,JD_FAS_DZ_NB_EP2,Briman,,,,,,,
Site,FAS,JD_FAS_DZ_NB-EP1,Briman,,,,,,,
Site,FAS,JD_FAS_DZ_NE_EP1,Al Marwah 6,,,,,,,
Site,FAS,JD_FAS_DZ_NF_EP1,Al Nuzha 2,,,,,,,
Site,FAS,JD_FAS_DZ_NF_EP2,Al Rabbwah 6,,,,,,,
