Parent Type,Parent ID,Cabinet ID,Cabinet Name
Room,RD_MLZ-WTP_MCC,RD_MLZ-WTP_MCC_SRVR,Server Panel
Room,RD_SHM-WTP_MCC,RD_SHM-WTP_MCC_SRVR,Server Panel
Room,RD_BWB-WTP_MCC,RD_BWB-WTP_MCC_SRVR,Server Panel
Room,RD_MNF-STP_ACB_ACR,RD_MNF-STP_ACB_ACR_TB05,TURBO Blower 05
Room,RD_MNF-STP_ACB_ACR,RD_MNF-STP_ACB_ACR_TB06,TURBO Blower 06
Room,RD_MNF-STP_ACB_ACR,RD_MNF-STP_ACB_ACR_TB07,TURBO Blower 07
Room,RD_MNF-STP_ACB_ACR,RD_MNF-STP_ACB_ACR_TB08,TURBO Blower 08
Room,RD_MNF-STP_ACB_ACR,RD_MNF-STP_ACB_ACR_TB09,TURBO Blower 09
Room,JD_AP1-WWTP_MCRS,JD_AP1-WWTP_MCRS_CRP,Control Room Panel
Room,JD_FAS_IT,JD_FAS_IT_SEC,SCADA Equipment Cabinet
Room,JD_FAS_IT,JD_FAS_IT_SC,Server Cabinet
Room,TF_MAT_DC,TF_MAT_DC_SRACK1,OT-SCADA-RACK1
Room,TF_MAT_DC,TF_MAT_DC_SRACK2,OT-SCADA-RACK2
Room,HQ_MB_DC,HQ_MB_DC_RK3,Rack#03
Room,MA_AWA_AMB_DC,MA_AWA_AMB_DC_SR,Server Rack
Room,MA_MIN_MCB_TRC,MA_MIN_MCB_TRC_OC,Operator Console
Room,MA_MIN_OCC_CR,MA_MIN_OCC_CR_MSP,Main Server Panel
Room,MA_MOA_SCB_CR,MA_MOA_SCB_CR_SRK,Server Rack
Room,MA_PS5_OCC_CR,MA_PS5_OCC_CR_OC,Operator Console
Room,MA_PS5_OCC_DC,MA_PS5_OCC_DC_SRK,Server Rack
Room,MA_MIN_OCC_CR,MA_MIN_OCC_CR_OC,Operator Console
SubSite,MA_PS5_AATNK,MA_PS5_AATNK_RTU,KARA AL AZIZIA TANK RTU PANEL
SubSite,MA_PS5_MILTNK,MA_PS5_MILTNK_RTU,MILLION RESERVOIR -RESERVOIR RTU PANEL
SubSite,MA_PS5_AMTNK,MA_PS5_AMTNK_RTU,MALAGIYAH AL KABIR RTU PANEL
SubSite,MA_PS5_MUNVCHMB,MA_PS5_MUNVCHMB_RTU,MINA VALVE CHAMBER RTU PANEL;
SubSite,MA_PS5_MOAFS,MA_PS5_MOAFS_RTU,AL MESSAM FILLING STATION RTU PANEL
SubSite,MA_PS5_MILHCHMB,MA_PS5_MILHCHMB_RTU,MILLION RES VALVE CHAMBER RTU PANEL
SubSite,MA_PS5_JUNAVCHMB,MA_PS5_JUNAVCHMB_RTU,JUCTION A VALVE RTU PANEL
SubSite,MA_PS5_MLKTNK,MA_PS5_MLKTNK_RTU,MALKAN TANK RTU PANEL
SubSite,MA_PS5_JUNBVCHMB,MA_PS5_JUNBVCHMB_RTU,JUCTION B VALVE RTU PANEL
SubSite,MA_PS5_ARFVCHMB,MA_PS5_ARFVCHMB_RTU,ARAFAT VALVE CHAMBER RTU PANEL
SubSite,MA_PS5_KAKFS,MA_PS5_KAKFS_RTU,AL KAKYIA FILLING STATION RTU PANEL
SubSite,MA_PS5_AZIZFS,MA_PS5_AZIZFS_RTU,AZIZIAH FILLING STATION RTU PANEL
SubSite,MA_PS5_ASTANK,MA_PS5_ASTANK_RTU,KARA AL SHARAE TANK RTU PANEL
SubSite,MA_PS5_AKWKTNK,MA_PS5_AKWKTNK_RTU,KAWASHEK KABIR RESERVOIR RTU PANEL
SubSite,MA_PS5_MOATNK,MA_PS5_MOATNK_RTU,AL MESSAM TANK RTU PANEL
SubSite,MA_MIN_MUZD_Z3_RTU1,MA_MIN_MUZD_Z3_RTU1_RTU,
SubSite,MA_MIN_MUZD_Z3_RTU2,MA_MIN_MUZD_Z3_RTU2_RTU,
SubSite,MA_MIN_MUZD_Z3_RTU3,MA_MIN_MUZD_Z3_RTU3_RTU,
SubSite,MA_MIN_MUZD_Z4_RTU1,MA_MIN_MUZD_Z4_RTU1_RTU,
SubSite,MA_MIN_MUZD_Z4_RTU2,MA_MIN_MUZD_Z4_RTU2_RTU,
SubSite,MA_MIN_MUZD_Z2_RTU4,MA_MIN_MUZD_Z2_RTU4_RTU,
SubSite,MA_MIN_MUZD_Z2_RTU3,MA_MIN_MUZD_Z2_RTU3_RTU,
SubSite,MA_MIN_MUZD_Z2_RTU1,MA_MIN_MUZD_Z2_RTU1_RTU,
SubSite,MA_MIN_MUZD_Z2_RTU2,MA_MIN_MUZD_Z2_RTU2_RTU,
SubSite,MA_MIN_MUZD_Z6_RTU1,MA_MIN_MUZD_Z6_RTU1_RTU,
SubSite,MA_MIN_MUZD_Z6_RTU4,MA_MIN_MUZD_Z6_RTU4_RTU,
SubSite,MA_MIN_MUZD_Z6_RTU3,MA_MIN_MUZD_Z6_RTU3_RTU,
SubSite,MA_MIN_MUZD_Z6_RTU2,MA_MIN_MUZD_Z6_RTU2_RTU,
SubSite,MA_MIN_M01,MA_MIN_M01_RTU,
