Parent Type,Parent ID,Asset ID,Asset Name,Asset Description,Asset Function,Asset Make,Asset Model,Asset Part Number,Asset Serial Number,Security Zone,Asset Firmware,Redundant Asset Pair ID (If Applicable),Asset Contact Person,Comments
Cabinet,MA_AWA_AMB_DC_SR,MA-AWA-SCD-RT-WN-01,MA-AWA-SCD-RT-WN-01,O.T Router Cisco 4331,Router,Cisco,4331,,,,,,,
Cabinet,MA_AWA_AMB_DC_SR,MA-AWA-OF-RT-WN-01,MA-AWA-OF-RT-WN-01,IT Router Cisco 2911 STC,Router,Cisco,2911,,,,,,,
Cabinet,MA_AWA_AMB_DC_SR,MA-AWA-OF-RT-WN-02,MA-AWA-OF-RT-WN-02,IT Router Cisco 2911 NourNet,Router,Cisco,2911,,,,,,,
Cabinet,MA_AWA_AMB_DC_SR,MA-AWA-PA850-FW-01,MA-AWA-PA850-FW-01,OT and IT Firewall Redundant,Firewall,Palo Alto,PA-850,,,,,,,
Cabinet,MA_AWA_AMB_DC_SR,MA-AWA-PA850-FW-02,MA-AWA-PA850-FW-02,OT and IT Firewall Redundant,Firewall,Palo Alto,PA-850,,,,,,,
Cabinet,MA_AWA_AMB_DC_SR,MA-AWA-OF-SW-CR-01,MA-AWA-OF-SW-CR-01,IT Core Switch Stack,Switch,Cisco,4507,,,,,,,
Cabinet,MA_AWA_AMB_DC_SR,MA-AWA-OF-SW-CR-02,MA-AWA-OF-SW-CR-02,IT Core Switch Stack,Switch,Cisco,4507,,,,,,,
Cabinet,MA_AWA_AMB_DC_SR,MA-AWA-OT-SW-SRVR-01,MA-AWA-OT-SW-SRVR-01,Awali OT Switch,Switch,Cisco,2960,,,,,,,
Cabinet,MA_AWA_AMB_DC_SR,MA-AWA-OF-SW-SRVR-02,MA-AWA-OF-SW-SRVR-02,IT Switch Stack,Switch,Cisco,2960,,,,,,,
Cabinet,MA_AWA_AMB_DC_SR,MA-AWA-OT-FW-01,MA-AWA-OT-FW-01,Awali OT Firewall 1,Firewall,Palo Alto,PA-820,,012001059186,,,,,
Cabinet,MA_AWA_AMB_DC_SR,MA-AWA-OT-FW-02,MA-AWA-OT-FW-02,Awali OT Firewall 2,Firewall,Palo Alto,PA-820,,012001059191,,,,,
Cabinet,MA_AWA_AMB_DC_SR,MA-AWA-OT-VMD-01,MA-AWA-OT-VMD-01,Awali OT Vulnerability Monitoring Device,Vulnerability Management,Nozomi Networks,NSGL100-U,,2033BA2668,,,,,
Cabinet,MA_AWA_AMB_DC_SR,MA-AWA-OT-SW-EXT,MA-AWA-OT-SW-EXT,Awali OT Switch connected to Cloud,Switch,Cisco,C1000,,FOC2505L9YD,,,,,
