Parent Type,Parent ID,Site ID,Site Name,Site Name(Arabic),Site Description,Site Location(Descriptive),Site Location(Coordinates - Dec),Site Location(Coordinates - Deg),Site Location(Google Link),Main Process / Equipment
Unit,HQ,HQ Site,HQ,,IT/OT Integration Location,,,,,
Unit,JD,AK-3,Al Khomrah 3,,Waste Water Treatment Plant (Standalone),Waste Water Treatment Plant located in South Zone,"21.374638, 39.226898","21°22'28.7""N 39°13'36.8""E",https://maps.app.goo.gl/PNznxqT682YTSo456,
Unit,JD,AK-4,Al Khomrah 4,,Waste Water Treatment Plant (Standalone),Waste Water Treatment Plant located in South Zone,"21.374638, 39.226898","21°22'28.7""N 39°13'36.8""E",https://maps.app.goo.gl/PNznxqT682YTSo456,
Unit,JD,AK-5,Al Khomrah 5,,,,,,,
Unit,JD,AK-6,Al Khomrah 6,,Sea Station (Standalone),Waste Water Treatment Plant located in South Zone,"21.374638, 39.226898","21°22'28.7""N 39°13'36.8""E",https://maps.app.goo.gl/PNznxqT682YTSo456,
Unit,JD,AP1-LS,Airport 1 - Lifting Station,,,Lifiting Station located in North Zone,"21.652310, 39.208522","21°39'08.3""N 39°12'30.7""E",https://maps.app.goo.gl/3AC19tVjC8nGFtpn8,
Unit,JD,AP1-WWTP,Airport 1 - Waste Water Treatment Plant,,Waste Water Treatment Plant & Lifting Station (Standalone),Waste Water Treatment Plant located in North Zone,"21.652310, 39.208522","21°39'08.3""N 39°12'30.7""E",https://maps.app.goo.gl/3AC19tVjC8nGFtpn8,
Unit,JD,BM-PH1,Briman Phase 1,,Water Treatment Plant,Strategic Tanks,"21.627056, 39.298311","21°37'37.4""N 39°17'53.9""E",https://maps.app.goo.gl/T47K1MmrhHxL5Hu48,
Unit,JD,BM-PH2,Briman Phase 2,,Water Treatment Plant,Strategic Tanks,"21.627056, 39.298311","21°37'37.4""N 39°17'53.9""E",https://maps.app.goo.gl/T47K1MmrhHxL5Hu48,
Unit,JD,FAS,Faisaliyah Tank Farm,,Existing SCADA Building,Existing SCADA Building,"21.570747, 39.193296","21°34'14.7""N 39°11'35.9""E",https://maps.app.goo.gl/XUvjSaNJ6qWXyD7N9,"Existing SCADA Server Rack and SCADA Equipment Cabinet are installed in the Faisaliyah. Motorola Controllers, Sofrel RTU, FR1000s, T-Box are installed in SCADA Equipment Cabinet which are getting data from the remotre sites over the Radio / GPRS / GSM and transfering the data to SCADA servers for monitoring via the Cisco Ethernet Switch. Existing SCADA Servers, Cisco Ethernet Switches, Moxa Switches, KVM are installed in the SCADA Server Rack. "
Unit,JD,PSB,Prince Sultan Building,,Miain / New SCADA Building,Miain / New SCADA Building,"21.656118, 39.124317","21°39'22.0""N 39°07'27.5""E",https://maps.app.goo.gl/e25DvzsT62kDS4fK7,"New Server Rack is installed in the Prince Sultan Building which consists of SCADA Servers, Management Servers, Firewalls, Network Switches, Nozomi Devices.
Supervisory control and data acquisition will be done from this building in future."
Unit,JD,SJLS,South Jeddah Lifting Station,,Lifiting Station (Standalone),Lifiting Station located in South Zone,"21.374638, 39.226898","21°22'28.7""N 39°13'36.8""E",https://maps.app.goo.gl/PNznxqT682YTSo456,
Unit,JD,SJSS,Sea Station,,,Sea Station located in South Zone,"21.374638, 39.226898","21°22'28.7""N 39°13'36.8""E",https://maps.app.goo.gl/PNznxqT682YTSo456,
Unit,JD,SZSS,SZSS,,,,,,,
Unit,MA,ARA,Arana,,Waste Water Treatment Plant (Standalone),,"21.257886, 39.714646","21° 15' 28.389""N 39° 42' 52.7256""E",https://goo.gl/maps/GNMymQHRyJKfjDxq8,
Unit,MA,AWA,AWALI,,Makkah BU Main Office,,"21.351212, 39.907717","21° 21' 4.3632""N 39° 54' 27.7806""E",https://goo.gl/maps/8EiqN92wHFZKKGRS9,None
Unit,MA,HAD,Hada,,Waste Water Treatment Plant (Standalone),,"21.447324, 39.585524","21° 26' 50.3658""N 39° 35' 7.8858""E",https://goo.gl/maps/tSGuuntoUc7Nc5MW9,
