Title,Document Number,Version,Date,Description,Category,Sub Category,File
NWC OT AD Security Groups,HQ_AD_HQOTADM01_SecurityGroups,0,28-Feb-22,,Evidence,,HQ_AD_HQOTADM01_SecurityGroups.PNG
NWC OT AD Security Group of SFTP User,HQ_HQOTADM12_AD_SFTP_Users,0,28-Feb-22,,Evidence,,HQ_HQOTADM12_AD_SFTP_Users.PNG
NWC OT SFTP Web Interface,HQ_HQOTADM12_SFTP_WebInterface,0,28-Feb-22,,Evidence,,HQ_HQOTADM12_SFTP_WebInterface.PNG
NWC OT SFTP Web Interface_1,HQ_HQOTADM12_SFTP_WebInterface_1,0,28-Feb-22,,Evidence,,HQ_HQOTADM12_SFTP_WebInterface_1.PNG
NWC OT SFTP Synchronizer,HQ_HQOTADM12_SFTPSynchronizer,0,28-Feb-22,,Evidence,,HQ_HQOTADM12_SFTPSynchronizer.PNG
NWC OT SIEM Integration - SyslogServer,HQ_HQOTADM12_SIEM_SyslogServer,0,28-Feb-22,,Evidence,,HQ_HQOTADM12_SIEM_SyslogServer.PNG
NWC OT SIEM Integration - WinCollector and QRadar Interface,HQ_HQOTADM12_SIEM_Wincollector_QRadarInterface,0,28-Feb-22,,Evidence,,HQ_HQOTADM12_SIEM_Wincollector_QRadarInterface.PNG
NWC OT SIEM Integration - WinCollector - Windows Events,HQ_HQOTADM12_SIEM_Wincollector_WindowsEvents,0,28-Feb-22,,Evidence,,HQ_HQOTADM12_SIEM_Wincollector_WindowsEvents.PNG
NWC OT SIEM Integration - Windows Event Subscription,HQ_HQOTADM12_SIEM_WindowsEventsSubscriptions,0,28-Feb-22,,Evidence,,HQ_HQOTADM12_SIEM_WindowsEventsSubscriptions.PNG
NWC OT SIEM Integration - Windows Event Subscription_1,HQ_HQOTADM12_SIEM_WindowsEventsSubscriptions_1,0,28-Feb-22,,Evidence,,HQ_HQOTADM12_SIEM_WindowsEventsSubscriptions_1.PNG
