Parent Type,Parent ID,Asset ID,Asset Name,Asset Description,Asset Function,Asset Make,Asset Model,Asset Part Number,Asset Serial Number,Security Zone,Asset Firmware,Redundant Asset Pair ID (If Applicable),Connected SCADA Server,Asset Contact Person,Asset Parent ID,Comments
Cabinet,RD_MNF-WTP_CHB_M1An,RD_MNF-WTP_MNF1_M1RO_MPLC_RIO6,RIO6,M1 Analyzers RIO,RIO,Schneider,CRA 931 00,,,,,,,,,
Cabinet,RD_MNF-WTP_CHB_M1CH,RD_MNF-WTP_MNF1_M1RO_MPLC_RIO7,RIO7,M1 Chemicals RIO,RIO,Schneider,CRA 931 00,,,,,,,,,
Cabinet,RD_MNF-WTP_M1RC_OUT,RD_MNF-WTP_MNF1_M1RO_MPLC_RIO8,RIO8,M1 Recipitator RIO,RIO,Schneider,CRA 931 00,,,,,,,,,
Cabinet,RD_MNF-WTP_CLRB_MNCL,RD_MNF-WTP_MNF1_M1RO_MPLC_RIO9,RIO9,Manfouha Chlorination RIO,RIO,Schneider,CRA 931 00,,,,,,,,,
Cabinet,RD_MNF-WTP_ADB_M2DCL,RD_MNF-WTP_MNF1_M1RO_MPLC_RIO10,RIO10,M2 De-Chlorination RIO,RIO,Schneider,CRA 931 00,,,,,,,,,
Cabinet,RD_MNF-WTP_ADB_M1WP,RD_MNF-WTP_MNF1_WP_PLC,Washing Pump PLC (Manfouha-1),Washing Pump PLC (Manfouha-1),PLC,Siemens,S7-1200,,,,,,,,,
Cabinet,RD_MNF-WTP_CHB_M2An,RD_MNF-WTP_MNF2_M2RO_MPLC_RIO6,RIO6,M2 Analyzer RIO,RIO,Schneider,CRA 931 00,,,,,,,,,
Cabinet,RD_MNF-WTP_M2RC_OUT,RD_MNF-WTP_MNF2_M2RO_MPLC_RIO8,RIO8,M2 Recipitator RIO,RIO,Schneider,CRA 931 00,,,,,,,,,
Cabinet,RD_MNF-STP_ACB_ACR_TB05,RD_MNF-STP_MNFNTBAB05_PLC,Turbo Blower AB05,Turbo Blower AB05,PLC,Schneider,M340,,,,,,,,,
Cabinet,RD_MNF-STP_ACB_ACR_TB06,RD_MNF-STP_MNFNTBAB06_PLC,Turbo Blower AB06,Turbo Blower AB06,PLC,Schneider,M340,,,,,,,,,
Cabinet,RD_MNF-STP_ACB_ACR_TB07,RD_MNF-STP_MNFNTBAB07_PLC,Turbo Blower AB07,Turbo Blower AB07,PLC,Schneider,M340,,,,,,,,,
Cabinet,RD_MNF-STP_ACB_ACR_TB08,RD_MNF-STP_MNFNTBAB08_PLC,Turbo Blower AB08,Turbo Blower AB08,PLC,Schneider,M340,,,,,,,,,
Cabinet,RD_MNF-STP_ACB_ACR_TB09,RD_MNF-STP_MNFNTBAB09_PLC,Turbo Blower AB09,Turbo Blower AB09,PLC,Schneider,M340,,,,,,,,,
Cabinet,JD_BM-PH1_KIOSK-1,JD_BM-PH1_K1-PLC,KIOSK-1 PLC,KIOSK-1 PLC,PLC,Schneider,M340,BMXP342020,,,,,,,,
Cabinet,JD_BM-PH1_KIOSK-2,JD_BM-PH1_K2-PLC,KIOSK-2 PLC,KIOSK-2 PLC,PLC,Schneider,M340,BMXP342020,,,,,,,,
Cabinet,JD_BM-PH1_KIOSK-3,JD_BM-PH1_K3-PLC,KIOSK-3 PLC,KIOSK-3 PLC,PLC,Schneider,M340,BMXP342020,,,,,,,,
Cabinet,JD_BM-PH1_KIOSK-1,JD_BM-PH1_K1-GW1,KIOSK-1 Gateway-1,KIOSK-1 Gateway-1,MODBUS/ETH Gateway,Schneider,ConneXium,TSXETG100,,,,,,,,
Cabinet,JD_BM-PH1_KIOSK-1,JD_BM-PH1_K1-GW2,KIOSK-1 Gateway-2,KIOSK-1 Gateway-2,MODBUS/ETH Gateway,Schneider,ConneXium,TSXETG100,,,,,,,,
Cabinet,JD_BM-PH1_KIOSK-1,JD_BM-PH1_K1-GW3,KIOSK-1 Gateway-3,KIOSK-1 Gateway-3,MODBUS/ETH Gateway,Schneider,ConneXium,TSXETG100,,,,,,,,
Cabinet,JD_BM-PH1_KIOSK-1,JD_BM-PH1_K1-GW4,KIOSK-1 Gateway-4,KIOSK-1 Gateway-4,MODBUS/ETH Gateway,Schneider,ConneXium,TSXETG100,,,,,,,,
Cabinet,JD_BM-PH1_KIOSK-2,JD_BM-PH1_K2-GW1,KIOSK-2 Gateway-1,KIOSK-2 Gateway-1,MODBUS/ETH Gateway,Schneider,ConneXium,TSXETG100,,,,,,,,
Cabinet,JD_BM-PH1_KIOSK-2,JD_BM-PH1_K2-GW2,KIOSK-2 Gateway-2,KIOSK-2 Gateway-2,MODBUS/ETH Gateway,Schneider,ConneXium,TSXETG100,,,,,,,,
Cabinet,JD_BM-PH1_KIOSK-2,JD_BM-PH1_K2-GW3,KIOSK-2 Gateway-3,KIOSK-2 Gateway-3,MODBUS/ETH Gateway,Schneider,ConneXium,TSXETG100,,,,,,,,
Cabinet,JD_BM-PH1_KIOSK-2,JD_BM-PH1_K2-GW4,KIOSK-2 Gateway-4,KIOSK-2 Gateway-4,MODBUS/ETH Gateway,Schneider,ConneXium,TSXETG100,,,,,,,,
Cabinet,JD_BM-PH1_KIOSK-3,JD_BM-PH1_K3-GW1,KIOSK-3 Gateway-1,KIOSK-3 Gateway-1,MODBUS/ETH Gateway,Schneider,ConneXium,TSXETG100,,,,,,,,
Cabinet,JD_BM-PH1_KIOSK-3,JD_BM-PH1_K3-GW2,KIOSK-3 Gateway-2,KIOSK-3 Gateway-2,MODBUS/ETH Gateway,Schneider,ConneXium,TSXETG100,,,,,,,,
Cabinet,JD_BM-PH1_KIOSK-3,JD_BM-PH1_K3-GW3,KIOSK-3 Gateway-3,KIOSK-3 Gateway-3,MODBUS/ETH Gateway,Schneider,ConneXium,TSXETG100,,,,,,,,
Cabinet,JD_BM-PH2_PC,JD_BM-PH2_RNT PLC1,JD_BM-PH2_RNT PLC1,Master PLC Primary,PLC,Siemens,SIMATIC,S7-400,,,,S7-400,,,,
Cabinet,JD_BM-PH2_PC,JD_BM-PH2_RNT PLC2,JD_BM-PH2_RNT PLC2,Master PLC Standby,PLC,Siemens,SIMATIC,S7-400,,,,S7-400,,,,
Cabinet,JD_BM-PH2_PC,JD_BM-PH2_MCRIO,JD_BM-PH2_MCRIO,Control RIO in Master PLC Cabinet,RIO,Siemens,SIMATIC ET 200M,IM 153-4,,,,,,,,
Cabinet,JD_AK-3_RPS_PP-1,JD_AK-3_PLC01,JD_AK-3_PLC01,RAS Pumpimg Station PLC,PLC,Siemens,SIMATIC,S7-300,,,,,,,,
Cabinet,JD_AK-3_ATB_PP-2,JD_AK-3_PLC02,JD_AK-3_PLC02,Aeration Tank Building PLC,PLC,Siemens,SIMATIC,S7-300,,,,,,,,
Cabinet,JD_AK-3_K4B_PP-3,JD_AK-3_PLC03,JD_AK-3_PLC03,KIOSK 4 PLC,PLC,Siemens,SIMATIC,S7-300,,,,,,,,
Cabinet,JD_AK-3_K5B_PP-4,JD_AK-3_PLC04,JD_AK-3_PLC04,KIOSK 5 PLC,PLC,Siemens,SIPLUS,S7-300,,,,,,,,
Cabinet,JD_AK-3_BB_PP-5,JD_AK-3_PLC05,JD_AK-3_PLC05,Blower Building Main PLC,PLC,Siemens,SIMATIC,S7-300,,,,,,,,
Cabinet,JD_AK-3_BB_PP-5,JD_AK-3_PLC5.1,JD_AK-3_PLC5.1,Blower Building PLC-1,PLC,Siemens,SIMATIC,S7-300,,,,,,,,
Cabinet,JD_AK-3_BB_PP-5,JD_AK-3_PLC5.2,JD_AK-3_PLC5.2,Blower Building PLC-2,PLC,Siemens,SIMATIC,S7-300,,,,,,,,
