Vendor Name,Generalized Software Name,Software Name,Software Version
Acronis,Acronis True Image,Acronis True Image for Crucial,23.0.21500
Apple Inc.,Bonjour,Bonjour,3.0.0.10
BCS,NicMonitor,NicMonitor,1.0.0.2
Google LLC,Googe Chrome,Googe Chrome,95.0.4638.69
Intel Corporation,Intel Drivers,Intel® Network Connection 21.1.30.0,21.1.30.0
Intel Corporation,Intel Drivers,Intel®  Graphics Driver,21.20.16.4565
"LunarG, Inc.",Vulkum Libraries,Vulkum Run Time Libraries 1.0.33.0,1.033.0
MatrikonOPC,Matrikon OPC,MatrikonOPC Analyzer,2.0.0.8411
MatrikonOPC,Matrikon OPC,MatrikonOPC Explorer,5.2.0.0
MatrikonOPC,Matrikon OPC,MatrikonOPC HOA Explorer,1.1.0.0
MatrikonOPC,Matrikon OPC,MatrikonOPC Server for Cr'tect,4.1.3.8399
MatrikonOPC,Matrikon OPC,MatrikonOPC Server for Simulation,1.7.3.8360
MatrikonOPC,Matrikon OPC,MatrikonOPC UA Tunneller,6.3.2.8411
MatrikonOPC,Matrikon OPC,MatrilconOPC UA Proxy,6.2.5.0
MatrikonOPC,Matrikon OPC,MatrilconOPC UA Wrapper for COM OPC Servers,3.0.1.0
Microsoft Corporation,Microsoft Windows,Windows 10 Pro,20H2
Microsoft Corporation,,Microsoft_VC90_All_x64_9.0.30729.6161,1.0.0
Microsoft Corporation,,Microsoft_VC90_All_x86_9.0.    30729.6161,1.0.0
Microsoft Corporation,Microsoft Office Professional 2016,Microsoft Office Professional 2016 - en-us,16.0.14527.20234
Microsoft Corporation,Microsoft Visial C++,Microsoft Visual C++ 2005 Redistributable,8.0.61001
Microsoft Corporation,Microsoft Visial C++,Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.17,9.0.30729
Microsoft Corporation,Microsoft Visial C++,Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148,9.0.30729.4148
Microsoft Corporation,Microsoft Visial C++,Microsoft Visual C++ 2010 x64 Redistributable - 10.0.40219,10.0.40219
Microsoft Corporation,Microsoft Visial C++,Microsoft Visual C++ 2010 x86 Redistributable - 10.0.40219,10.0.40219
Microsoft Corporation,Microsoft Visial C++,Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030,11.0.61030.0
Microsoft Corporation,Microsoft Visial C++,Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501,12.0.30501.0
Microsoft Corporation,Microsoft Visial C++,Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501,12.0.30501.0
Microsoft Corporation,Microsoft Visial C++,Microsoft Visual C++ 2017 Redistributable (x64) - 14.16.27029,14.16.27029.1
Microsoft Corporation,Microsoft Visial C++,Microsoft Visual C++ 2017 Redistributable (x86) - 14.15.26706,14.15.26706.0
Microsoft Corporation,Microsoft Visial C++,Microsoft VisualC++ 2012 Redistributable (x64) - 11.0.61030,11.0.61030.0
Moxa Inc.,,Nport Administrator Suite Ver1.22,
NETGEAR,,NETGEAR A6210 Genie,1.0.0.39
Nmap Project,,Npcap 0.995,0.995
OPC Foundation,,OPC Core Components Redistributable (x64) 3.0.107.24,3.0.10700
OPC Foundation,,OPC UA Local Discovery Server 1.03,1.03.400.431
philandro Software GmbH,,AnyDesk,ad 6.2.6
Realtek Semiconductor Corp.,,Realtek High Definition Audio Driver,6.0.1.7548
"SafeNet, Inc.",,Sentinel System Driver Installer 7.5.7,7.5.7
Schneider Electric,Vijeo Citect 2015,Schneider Electric Floating License Manager,1.6.1.0
Schneider Electric,Vijeo Citect 2015,Schneider Electric License Manager,1.6.1.0
Schneider Electric,Vijeo Citect 2015,Vijeo Citect 2015,7.50.0000
Schneider Electric,Vijeo Citect 2015,Vijeo Citect 2015 Documentation,1.00.0000
Simon Tatham,,PuttY release 0.71 (64-bit),0.71.0.0
TeamViewer,TeamViewer,TeamViewer,15.22.3
The Wireshark Developer Community,Wireshark,Wireshark 3.0.3 64-bit,3.0.3
