Standard Name,Clause Number,Clause Title,Clause Description
ECC - 1 : 2018,1-Jan,Cybersecurity Strategy,"To ensure that cybersecurity plans, goals, initiatives and projects are contributing to compliance with related laws and regulations."
ECC - 1 : 2018,1/1/2001,Cybersecurity Strategy,"A cybersecurity strategy must be defined, documented and approved. It must be supported by the head of the organization or his/her delegate (referred to in this document as Authorizing Official). The strategy goals must be in-line with related laws and regulations."
ECC - 1 : 2018,1/1/2002,Cybersecurity Strategy,A roadmap must be executed to implement the cybersecurity strategy.
ECC - 1 : 2018,1/1/2003,Cybersecurity Strategy,The cybersecurity strategy must be reviewed periodically according to planned intervals or upon changes to related laws and regulations.
ECC - 1 : 2018,2-Jan,Cybersecurity Management,To ensure Authorizing Official’s support in implementing and managing cybersecurity programs within the organization as per related laws and regulations
ECC - 1 : 2018,1/2/2001,Cybersecurity Management,"A dedicated cybersecurity function (e.g., division, department) must be established within the organization. This function must be independent from the Information Technology/Information Communication and Technology (IT/ICT) functions (as per the Royal Decree number 37140 dated 14/8/1438H). It is highly recommended that this cybersecurity function reports directly to the head of the organization or his/her delegate while ensuring that this does not result in a conflict of interest."
ECC - 1 : 2018,1/2/2002,Cybersecurity Management,"The position of cybersecurity function head (e.g., CISO), and related supervisory and critical positions within the function, must be filled with full-time and experienced Saudi cybersecurity professionals."
ECC - 1 : 2018,1/2/2003,Cybersecurity Management,"A cybersecurity steering committee must be established by the Authorizing Official to ensure the support and implementation of the cybersecurity programs and initiatives within the organization. Committee members, roles and responsibilities, and governance framework must be defined, documented and approved. The committee must include the head of the cybersecurity function as one of its members. It is highly recommended that the committee reports directly to the head of the organization or his/her delegate while ensuring that this does not result in a conflict of interest."
ECC - 1 : 2018,3-Jan,Cybersecurity Policies and Procedures,"To ensure that cybersecurity requirements are documented, communicated and complied with by the organization as per related laws and regulations, and organizational requirements."
ECC - 1 : 2018,1/3/2001,Cybersecurity Policies and Procedures,"Cybersecurity policies and procedures must be defined and documented by the cybersecurity function, approved by the Authorizing Official, and disseminated to relevant parties inside and outside the organization."
ECC - 1 : 2018,1/3/2002,Cybersecurity Policies and Procedures,The cybersecurity function must ensure that the cybersecurity policies and procedures are implemented.
ECC - 1 : 2018,1/3/2003,Cybersecurity Policies and Procedures,"The cybersecurity policies and procedures must be supported by technical security standards (e.g., operating systems, databases and firewall technical security standards)."
ECC - 1 : 2018,1/3/2004,Cybersecurity Policies and Procedures,The cybersecurity policies and procedures must be reviewed periodically according to planned intervals or upon changes to related laws and regulations. Changes and reviews must be approved and documented.
ECC - 1 : 2018,4-Jan,Cybersecurity Roles and Responsibilities,To ensure that roles and responsibilities are defined for all parties participating in implementing the cybersecurity controls within the organization.
ECC - 1 : 2018,1/4/2001,Cybersecurity Roles and Responsibilities,"Cybersecurity organizational structure and related roles and responsibilities must be defined, documented, approved, supported and assigned by the Authorizing Official while ensuring that this does not result in a conflict of interest."
ECC - 1 : 2018,1/4/2002,Cybersecurity Roles and Responsibilities,The cybersecurity roles and responsibilities must be reviewed periodically according to planned intervals or upon changes to related laws and regulations.
ECC - 1 : 2018,5-Jan,Cybersecurity Risk Management,"To ensure managing cybersecurity risks in a methodological approach in order to protect the organization’s information and technology assets as per organizational policies and procedures, and related laws and regulations."
ECC - 1 : 2018,1/5/2001,Cybersecurity Risk Management,"Cybersecurity risk management methodology and procedures must be defined, documented and approved as per confidentiality, integrity and availability considerations of information and technology assets."
ECC - 1 : 2018,1/5/2002,Cybersecurity Risk Management,The cybersecurity risk management methodology and procedures must be implemented by the cybersecurity function.
ECC - 1 : 2018,1/5/2003,Cybersecurity Risk Management,The cybersecurity risk assessment procedures must be implemented at least in the following cases:
ECC - 1 : 2018,1-5-3-1 ,Cybersecurity Risk Management,Early stages of technology projects.
ECC - 1 : 2018,1-5-3-2 ,Cybersecurity Risk Management,Before making major changes to technology infrastructure.
ECC - 1 : 2018,1-5-3-3 ,Cybersecurity Risk Management,During the planning phase of obtaining third party services.
ECC - 1 : 2018,1-5-3-4 ,Cybersecurity Risk Management,During the planning phase and before going live for new technology services and products.
ECC - 1 : 2018,1/5/2004,Cybersecurity Risk Management,The cybersecurity risk management methodology and procedures must be reviewed periodically according to planned intervals or upon changes to related laws and regulations. Changes and reviews must be approved and documented.
ECC - 1 : 2018,6-Jan,Cybersecurity in Information and Technology Project Management,"To ensure that cybersecurity requirements are included in project management methodology and procedures in order to protect the confidentiality, integrity and availability of information and technology assets as per organization policies and procedures, and related laws and regulations."
ECC - 1 : 2018,1/6/2001,Cybersecurity in Information and Technology Project Management,Cybersecurity requirements must be included in project and asset (information/ technology) change management methodology and procedures to identify and manage cybersecurity risks as part of project management lifecycle. The cybersecurity requirements must be a key part of the overall requirements of technology projects.
ECC - 1 : 2018,1/6/2002,Cybersecurity in Information and Technology Project Management,The cybersecurity requirements in project and assets (information/technology) change management must include at least the following:
ECC - 1 : 2018,1-6-2-1,Cybersecurity in Information and Technology Project Management,Vulnerability assessment and remediation.
ECC - 1 : 2018,1-6-2-2,Cybersecurity in Information and Technology Project Management,"Conducting a configurations’ review, secure configuration and hardening and patching before changes or going live for technology projects."
ECC - 1 : 2018,1/6/2003,Cybersecurity in Information and Technology Project Management,The cybersecurity requirements related to software and application development projects must include at least the following:
ECC - 1 : 2018,1-6-3-1,Cybersecurity in Information and Technology Project Management,Using secure coding standards.
ECC - 1 : 2018,1-6-3-2,Cybersecurity in Information and Technology Project Management, Using trusted and licensed sources for software development tools and libraries.
ECC - 1 : 2018,1-6-3-3,Cybersecurity in Information and Technology Project Management, Conducting compliance test for software against the defined organizational cybersecurity requirements.
ECC - 1 : 2018,1-6-3-4,Cybersecurity in Information and Technology Project Management, Secure integration between software components.
ECC - 1 : 2018,1-6-3-5,Cybersecurity in Information and Technology Project Management," Conducting a configurations’ review, secure configuration and hardening and patching before going live for software products."
