Parent Type,Parent ID,Asset ID,Asset Name,Asset Description,Asset Function,Asset Make,Asset Model,Asset Part Number,Asset Serial Number,Security Zone,Operating System,VM Host,Connected SCADA Server,Asset Contact Person,Comments
Site,Exit-17,RD_EX-17_DAS,RD_EX-17_DAS,Workstation,DAS,,,,,,Windows 8,,,,
Site,Exit-17,RD_EX-17_SQL,RD_EX-17_SQL,Workstation,SQL,,,,,,Windows 8,,,,
Site,Exit-17,RD_EX-17_ABC,RD_EX-17_ABC,Workstation,,,,,,,Windows 8,,,,
Site,Exit-17,RPROSCDGRS001,RPROSCDGRS001,GR,GR,,,,,,Windows Server 2012R2,,,,
Site,Exit-17,RPROSCDGRHIS1,RPROSCDGRHIS1,Historian,Historian,,,,,,Windows Server 2012R2,,,,
Site,Exit-17,RPROSCADHIST4,RPROSCADHIST4,Historian,Historian,,,,,,Windows Server 2012R2,,,,
Site,Exit-17,RPROSCADHIST2,RPROSCADHIST2,Historian,Historian,,,,,,Windows Server 2012R2,,,,
Site,Exit-17,RPROSCADHIST3,RPROSCADHIST3,Historian,Historian,,,,,,Windows Server 2012R2,,,,
Site,Exit-17,RDOTE17PHY01,RDOTE17PHY01,New server for smart operations,Physical host,,,,,,,,,,
Site,Exit-17,RPROSCDDAS002,RPROSCDDAS002,New DAS,DAS,,,,,,,,,,
Site,Exit-17,RPROSCDPCWN001,RPROSCDPCWN001,New SmartsOps server,,,,,,,,,,,
Site,Exit-17,RPROSCDI2O001,RPROSCDI2O001,New SmartsOps server,,,,,,,,,,,
Site,Exit-17,RDOTE17PHY02,RDOTE17PHY02,New SCADA Server physical host,Physical host,,,,,,,,,,
Site,Exit-17,RPROSCDGRSTP01,RPROSCDGRSTP01,New WWTP GR,GR,,,,,,,,,,
Site,Exit-17,RPROSCDAOS002,RPROSCDAOS002,New AOS,AOS,,,,,,,,,,
Site,Exit-17,RPROSCDHIS003,RPROSCDHIS003,New Historian,Historian,,,,,,,,,,
Site,Exit-17,RDOTE17PHY03,RDOTE17PHY03,New SCADA Server physical host,Physical host,,,,,,,,,,
Site,Exit-10,rd-et10-ws-04,rd-et10-ws-04,Scada Client system 4,EWS,,,,,,,,,,
Site,Exit-10,RDOTE10PHY1,RDOTE10PHY1,Management server Physical Host ,Physial host,,,,,,Windows Server 2016 DC,,,,
Site,Exit-10,RDOTE10ADM01,RDOTE10ADM01,VM for ADC,ADC,,,,,,Windows Server 2016 Standard Edition,,,,
Site,Exit-10,RDOTE10ADM02,RDOTE10ADM02,VM for Management server,MGMT server,,,,,,Windows Server 2016 Standard Edition,,,,
Site,Exit-10,RDOTE10PHY02,RDOTE10PHY02,New SCADA Physical server,Physial host,,,,,,Windows Server 2016 Standard Edition,,,,
Site,Exit-10,RPROSCDDAS001,RPROSCDDAS001,New DAS,DAS,,,,,,Windows Server 2016 Standard Edition,,,,
Site,Exit-10,RPROSCDGRWTP001,RPROSCDGRWTP001,New GR for WTP,GR,,,,,,Windows Server 2016 Standard Edition,,,,
Site,Exit-10,RDOTE10PHY03,RDOTE10PHY03,New SCADA Physical server,Phycal host,,,,,,Windows Server 2016 Standard Edition,,,,
Site,Exit-10,RPROSCDAOS001,RPROSCDAOS001,New AOS,AOS,,,,,,Windows Server 2016 Standard Edition,,,,
Site,Exit-10,RPROSCDHIS002,RPROSCDHIS002,New Historian,Historian,,,,,,Windows Server 2016 Standard Edition,,,,
Site,Exit-10,RCBU_HMI_08,RCBU_HMI_08,Workstation,Workstation,,,,,,Windows 10,,,,
Site,TGNW,CCR-SCD-01,CCR-SCD-01,Server,Server,,,,,,Windows Server 2012R2,,,,
Site,TGNW,CCR-SCD-02,CCR-SCD-02,Server,Server,,,,,,Windows Server 2012R2,,,,
Site,TGNW,CCR-HST-01,CCR-HST-01,Server,Server,,,,,,Windows Server 2012R2,,,,
Site,TGNW,CCR-OWS-01,CCR-OWS-01,Workstation,Workstation,,,,,,Windows 8,,,,
Site,TGNW,CCR-OWS-02,CCR-OWS-02,Workstation,Workstation,,,,,,Windows 8,,,,
Site,Malaz WTP,RPROSCDMLZHIS01,RPROSCDMLZHIS01,Historian,Historian,,,,,,Windows Server 2012R2,,,,
Site,Malaz WTP,MLZ_HMI_003,MLZ_HMI_003,Workstation,Workstation,,,,,,Windows 8,,,,
Site,Malaz WTP,MLZ_HMI_002,MLZ_HMI_002,Workstation,Workstation,,,,,,Windows 8,,,,
Site,Malaz WTP,MLZ_HMI_001,MLZ_HMI_001,Workstation,Workstation,,,,,,Windows 8,,,,
