Parent Type,Parent ID,SubSite ID,SubSite Name,SubSite Name(Arabic),SubSite Description,SubSite Location(Descriptive),SubSite Location(Coordinates - Dec),SubSite Location(Coordinates - Deg),SubSite Location(Google Link),Main Process / Equipment
Site,Manfouha WTP,RD_MNF-WTP_MNF1,Manfouha 1 WTP,,,,,,,
Site,Manfouha WTP,RD_MNF-WTP_MNF2,Manfouha 2 WTP,,,,,,,
Site,Manfouha WWTP,RD_MNF-STP_MNFE,Manfouha East STP,,,,,,,
Site,Manfouha WWTP,RD_MNF-STP_MNFN,Manfouha North STP,,,,,,,
Site,Manfouha WWTP,RD_MNF-STP_MNFS,Manfouha South STP,,,,,,,
Site,TGC,RD_TGC_EX12,TGC Exit12,,,,,,,
Site,TGC,RD_TGC_EX13,TGC Exit13,,,,,,,
Site,TGC,RD_TGC_EX14,TGC Exit14,,,,,,,
Site,Bowaib WTP,RD_BWB-WTP_BWB1,Bowaib 1,,,,,,,
Site,Bowaib WTP,RD_BWB-WTP_BWB2,Bowaib 2,,,,,,,
Site,Shomacy WTP,RD_SHM-WTP,Shomacy WTP ,,,,,,,
Site,Malaz WTP,RD_MLZ-WTP,Malaz WTP ,,,,,,,
Site,Malaz WTP,RD_MLZ-WTP_MLZ1,MALAZ - 1,,,,,,,
Site,Malaz WTP,RD_MLZ-WTP_MLZ2,MALAZ - 2,,,,,,,
Site,Malaz WTP,RD_MLZ-WTP_QTR1,AL QATAR 1,,,,,,,
Site,Malaz WTP,RD_MLZ-WTP_QTR2,AL QATAR 2,,,,,,,
Site,Malaz WTP,RD_MLZ-WTP_MTR,MATHAR,,,,,,,
Site,Malaz WTP,RD_MLZ-WTP_LGN,LAGON,,,,,,,
Site,Salbukh WTP,RD_SLB-WTP,Salbukh WTP ,,,,,,,
Site,Wasi WTP,RD_WAS-WTP,Wasi WTP ,,,,,,,
Site,TGNW,RD_TGNW,TGNW ,,,,,,,
Site,HEET WWTP,RD_HET-STP_P1,HEET Phase 1 STP,,,,,,,
Site,HEET WWTP,RD_HET-STP_P2,HEET Phase 2 STP,,,,,,,
Site,HAYER WWTP,RD_HYR-STP,El Hayer STP,,,,,,,
Site,Exit-10,RD_E10_OLA-1,OLAYA-1,,,,,,,
Site,Exit-10,RD_E10_OLA-12,OLAYA-12,,,,,,,
Site,Exit-10,RD_E10_OLA-13,OLAYA-13,,,,,,,
Site,Exit-10,RD_E10_OLA-14,OLAYA-14,,,,,,,
Site,Exit-10,RD_E10_OLA-15,OLAYA-15,,,,,,,
Site,Exit-10,RD_E10_OLA-17,OLAYA-17,,,,,,,
Site,Exit-10,RD_E10_OLA-18,OLAYA-18,,,,,,,
Site,Exit-10,RD_E10_OLA-2,OLAYA-2,,,,,,,
Site,Exit-10,RD_E10_OLA-22,OLAYA-22,,,,,,,
Site,Exit-10,RD_E10_OLA-24,OLAYA-24,,,,,,,
Site,Exit-10,RD_E10_OLA-25,OLAYA-25,,,,,,,
Site,Exit-10,RD_E10_OLA-26,OLAYA-26,,,,,,,
