Parent Type,Parent ID,SubSite ID,SubSite Name,SubSite Name(Arabic),SubSite Description,SubSite Location(Descriptive),SubSite Location(Coordinates - Dec),SubSite Location(Coordinates - Deg),SubSite Location(Google Link),Main Process / Equipment
Site,MIN,MA_MIN_ARF_NAC,New Arafat Concrete 402,,,TANK RTU PANEL,,,,
Site,MIN,MA_MIN_ARF_NAS,New Arafat Steel 401,,,TANK RTU PANEL,,,,
Site,MIN,MA_MIN_ARF_OARF,Old Arafat Tank,,,TANK RTU PANEL,,,,
Site,MIN,MA_MIN_3PM,3Rd Phase Muzdalifa (Saudi Oger),,,TANK RTU PANEL,,,,
Site,MIN,MA_MIN_B01,RTUw_ B01,,,NEW RTU PANEL BOUNDRIES,,,,
Site,MIN,MA_MIN_B0105,B0105 (Mechanical),,,NEW RTU PANEL BOUNDRIES,,,,
Site,MIN,MA_MIN_B0604,B0604,,,NEW RTU PANEL BOUNDRIES,,,,
Site,MIN,MA_MIN_B0305A,Fm02 (B0305A),,,NEW RTU PANEL DMZ,,,,
Site,MIN,MA_MIN_B0305B,B0305B,,,NEW RTU PANEL BOUNDRIES,,,,
Site,MIN,MA_MIN_B0403A,Fm 6&7 (B0403A),,,NEW RTU PANEL DMZ,,,,
Site,MIN,MA_MIN_B0403B,RTUw_ B0403B,,,NEW RTU PANEL BOUNDRIES,,,,
Site,MIN,MA_MIN_B0403C,Fm 14&15 (Bin0809C),,,NEW RTU PANEL DMZ,,,,
Site,MIN,MA_MIN_B0403D,B0403D 201,,,NEW RTU PANEL BOUNDRIES,,,,
Site,MIN,MA_MIN_B0709,RTUw_ B0709,,,NEW RTU PANEL BOUNDRIES,,,,
Site,MIN,MA_MIN_BIN0809B,Bin0809B,,,NEW RTU PANEL BOUNDRIES,,,,
Site,MIN,MA_MIN_BIN0809C,Fm09 (B0403C),,,NEW RTU PANEL DMZ,,,,
Site,MIN,MA_MIN_BIN1011A,RTUw_ Bin1011A,,,NEW RTU PANEL BOUNDRIES,,,,
Site,MIN,MA_MIN_BIN1011B,RTUw_ Bin1011B,,,NEW RTU PANEL BOUNDRIES,,,,
Site,MIN,MA_MIN_BIN1011C,RTUw_ Bin1011C,,,NEW RTU PANEL BOUNDRIES,,,,
Site,MIN,MA_MIN_BIN1011D,RTUw_ Bin1011D,,,NEW RTU PANEL BOUNDRIES,,,,
Site,MIN,MA_MIN_BIN1011E,RTUw_ Bin1011E,,,NEW RTU PANEL BOUNDRIES,,,,
Site,MIN,MA_MIN_ES,Al-Esaey,,,TANK RTU PANEL,,,,
Site,MIN,MA_MIN_HB,Hogag Al-Bar 206,,,TANK RTU PANEL,,,,
Site,MIN,MA_MIN_KF,King Fahd,,,TANK RTU PANEL,,,,
Site,MIN,MA_MIN_LB,Lower Baya,,,TANK RTU PANEL,,,,
Site,MIN,MA_MIN_M01,M01 (Baya Olwi),,,NEW RTU PANEL DMZ,,,,
Site,MIN,MA_MIN_M02,M02 (R. Al-Kheef Matito),,,NEW RTU PANEL DMZ,,,,
Site,MIN,MA_MIN_M03A,M03A (King Fahad 1),,,NEW RTU PANEL DMZ,,,,
Site,MIN,MA_MIN_M03B,M03B (King Fahad 2),,,NEW RTU PANEL DMZ,,,,
Site,MIN,MA_MIN_M03C,Fm01 (M03C),,,NEW RTU PANEL DMZ,,,,
Site,MIN,MA_MIN_M04,M04,,,NEW RTU PANEL DMZ,,,,
Site,MIN,MA_MIN_M05A,M05A (Kharasany),,,NEW RTU PANEL DMZ,,,,
Site,MIN,MA_MIN_M05B,M05B (Qusur),,,NEW RTU PANEL DMZ,,,,
Site,MIN,MA_MIN_M07,M07 (Mina 40),,,NEW RTU PANEL DMZ,,,,
Site,MIN,MA_MIN_M0809A,M0809A (Moiassam),,,NEW RTU PANEL DMZ,,,,
Site,MIN,MA_MIN_M0809B,M0809B (Matito 207/208),,,NEW RTU PANEL DMZ,,,,
Site,MIN,MA_MIN_M0809C,M0809C (Mabany),,,NEW RTU PANEL DMZ,,,,
Site,MIN,MA_MIN_M0809D,M0809D (Essay),,,NEW RTU PANEL DMZ,,,,
Site,MIN,MA_MIN_M1011,M1011 (Saudi Oger),,,NEW RTU PANEL DMZ,,,,
Site,MIN,MA_MIN_MAB,Al-Mabany,,,TANK RTU PANEL,,,,
Site,MIN,MA_MIN_MAL,Malakan,,,TANK RTU PANEL,,,,
Site,MIN,MA_MIN_MF1,Mina Fire Tunnel 1,,,TANK RTU PANEL,,,,
Site,MIN,MA_MIN_MF2,Mina Fire Tunnel 2,,,TANK RTU PANEL,,,,
Site,MIN,MA_MIN_MM,Main Mina Tank (Mina 40),,,TANK RTU PANEL,,,,
Site,MIN,MA_MIN_MOS,Al-Moesam,,,TANK RTU PANEL,,,,
Site,MIN,MA_MIN_MT,Metito 207 & 208,,,TANK RTU PANEL,,,,
Site,MIN,MA_MIN_QUS,Al-Qusoor,,,TANK RTU PANEL,,,,
Site,MIN,MA_MIN_RKK,Rabwet Al-Khaif Concrete,,,TANK RTU PANEL,,,,
Site,MIN,MA_MIN_UB,Upper Baya,,,TANK RTU PANEL,,,,
Site,MIN,MA_MIN_MUZ_FM,Muzdalifa Fire,,,TANK RTU PANEL,,,,
Site,MIN,MA_MIN_MUZ_MAI,Main Muzdalifah,,,TANK RTU PANEL,,,,
Site,MIN,MA_MIN_MUZ_TRD,Taraddudia,,,TANK RTU PANEL,,,,
Site,MIN,MA_MIN_MUZD_Z2_RTU1,Muzdalifa Zone 2 / RTU#1,,,,"21.4419968,39.8639605",,,
Site,MIN,MA_MIN_MUZD_Z2_RTU2,Muzdalifa Zone 2 / RTU#2,,,,"21.4620428,39.8504614",,,
Site,MIN,MA_MIN_MUZD_Z2_RTU3,Muzdalifa Zone 2 / RTU#3,,,,"21.4423665,39.8655744",,,
Site,MIN,MA_MIN_MUZD_Z2_RTU4,Muzdalifa Zone 2 / RTU#4,,,,"21.4532459,39.8781521",,,
Site,MIN,MA_MIN_MUZD_Z3_RTU1,Muzdalifa Zone 3 / RTU#1,,,,"21.4525173,39.8621373",,,
Site,MIN,MA_MIN_MUZD_Z3_RTU2,Muzdalifa Zone 3 / RTU#2,,,,"21.4556326,39.8617405",,,
Site,MIN,MA_MIN_MUZD_Z3_RTU3,Muzdalifa Zone 3 / RTU#3,,,,"21.4455655,39.8532732",,,
Site,MIN,MA_MIN_MUZD_Z4_RTU1,Muzdalifa Zone 4 / RTU#1,,,,"21.4483111,39.8536558",,,
Site,MIN,MA_MIN_MUZD_Z4_RTU2,Muzdalifa Zone 4 / RTU#2,,,,"21.4487668,39.8651564",,,
Site,MIN,MA_MIN_MUZD_Z6_RTU1,Muzdalifa Zone 6 / RTU#1,,,,"21.4636407,39.8547374",,,
Site,MIN,MA_MIN_MUZD_Z6_RTU2,Muzdalifa Zone 6 / RTU#2,,,,"21.4559915,39.8365162",,,
Site,MIN,MA_MIN_MUZD_Z6_RTU3,Muzdalifa Zone 6 / RTU#3,,,,"21.4515033,39.8355896",,,
Site,MIN,MA_MIN_MUZD_Z6_RTU4,Muzdalifa Zone 6 / RTU#4,,,,"21.4537951,39.8385896",,,
Site,PS5,MA_PS5_AATNK,Al-Azizyah Tank (Tank Farm),,,,"21.413056, 39.870500",,,
Site,PS5,MA_PS5_AJMBS,Al-Jumaisah Booster (Booster Pump),,,,"21.438972, 39.834056",,,
Site,PS5,MA_PS5_AJYAD,Ajyad,,,,,,,
Site,PS5,MA_PS5_AKWKTNK,Al-Kawashek Tank (Tank Farm),,,,"21.410778, 39.815389",,,
Site,PS5,MA_PS5_ALANJ,Alanjary,,,,,,,
Site,PS5,MA_PS5_ALGSH,Algshashayh,,,,,,,
Site,PS5,MA_PS5_AMTNK,Al Malagiyah Tank (Tank Farm),,,,"21.447889, 39.816667",,,
Site,PS5,MA_PS5_ARFVCHMB,Arafat Valve Chamber (Valve Chamber),,,,"21.360750, 39.989500",,,
Site,PS5,MA_PS5_ASAF,Alsafoah,,,,,,,
Site,PS5,MA_PS5_ASMH,Alshamallah,,,,,,,
Site,PS5,MA_PS5_ASTANK,Al-Sharayea Tank (Tank Farm),,,,"21.481861, 39.933444",,,
Site,PS5,MA_PS5_ASTANK_FM,Al-Sharayea Tank (Tank Farm) New RTU For Fm,,,,"21.481861, 39.933444",,,
Site,PS5,MA_PS5_AZIZFS,Azizyah Filling Station,,,,,,,
Site,PS5,MA_PS5_C1-1,Jabal Alnuwratileat Alzuwwar,??? ????????? ??????,,,"21.4525173,39.8621373",,,
Site,PS5,MA_PS5_C1-11,Wadi Jalil Eind Almustawsaf Alsihiyi,???? ???? ??? ???????? ?????,,,"21.4620428,39.8504614",,,
Site,PS5,MA_PS5_C1-12,Wadi Jalil Eind Almustawsaf Alsihiyi,???? ???? ??? ???????? ?????,,,"21.4636407,39.8547374",,,
Site,PS5,MA_PS5_C1-13,Raye Dhakhir Harat Alwadhinih,??? ???? ???? ???????,,,"21.4537951,39.8385896",,,
Site,PS5,MA_PS5_C1-14,Raye Dhakhir Harat Alwadhinih,??? ???? ???? ???????,,,"21.4515033,39.8355896",,,
Site,PS5,MA_PS5_C1-15,Harat Alsalman,???? ???????,,,"21.4559915,39.8365162",,,
Site,PS5,MA_PS5_C1-16,Harat Alsalman,???? ???????,,,"21.4575018,39.8356972",,,
Site,PS5,MA_PS5_C1-17,Alshashuh Alamamyh,????? ????????,,,"21.427479,39.8551053",,,
Site,PS5,MA_PS5_C1-18,Alshashuh Alamamyh,????? ????????,,,"21.4259514,39.8554967",,,
